demand_id,buyer_id,buyer_type,buyer_name,commodity,required_quantity_quintal,required_quality,max_moisture_percent,offered_price_rs_per_quintal,payment_terms,delivery_location,requirement_window_days,verification_status,data_status
D0139,B0185,Processor,Ajmer Processor Buyer 57,Bajra,2000,FAQ,10.2,2310,Payment after quality acceptance,Ajmer,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0140,B0060,FPO,Udaipur FPO Buyer 69,Tomato,2000,A,87.9,3090,T+7 days,Udaipur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0141,B0197,Exporter,Bhilwara Exporter Buyer 37,Onion,500,Medium,73.5,2380,T+7 days,Bhilwara,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0142,B0096,FPO,Nagaur FPO Buyer 71,Bajra,1500,FAQ,11.1,2710,30% advance + balance on delivery,Nagaur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0143,B0132,Wholesale,Kota Wholesale Buyer 19,Gram,150,Grade A,7.3,5950,T+1 day,Kota,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0144,B0129,Processor,Hanumangarh Processor Buyer 48,Onion,25,Small,73.2,2210,Immediate UPI/RTGS,Hanumangarh,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0145,B0203,Exporter,Sikar Exporter Buyer 19,Wheat,2000,FAQ,9.1,2620,T+7 days,Sikar,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0146,B0066,Wholesale,Bikaner Wholesale Buyer 28,Tomato,50,A,88.6,890,Payment after quality acceptance,Bikaner,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0147,B0013,FPO,Barmer FPO Buyer 31,Mustard,150,Bold Seed,6.9,5510,30% advance + balance on delivery,Barmer,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0148,B0005,Exporter,Nagaur Exporter Buyer 66,Mustard,1000,FAQ,7.2,6570,T+3 days,Nagaur,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0149,B0172,Wholesale,Alwar Wholesale Buyer 11,Onion,75,Large,74.9,2900,Immediate UPI/RTGS,Alwar,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0150,B0096,Institutional,Nagaur Institutional Buyer 33,Garlic,1500,Export,67.0,8960,Immediate UPI/RTGS,Nagaur,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0151,B0012,Wholesale,Barmer Wholesale Buyer 46,Mustard,200,Bold Seed,7.4,5540,T+1 day,Barmer,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0152,B0184,Processor,Bhilwara Processor Buyer 59,Tomato,75,A,87.9,1120,Immediate UPI/RTGS,Bhilwara,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0153,B0209,Exporter,Sikar Exporter Buyer 70,Wheat,750,Grade A,9.8,2700,Payment after quality acceptance,Sikar,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0154,B0070,Retail Chain,Nagaur Retail Chain Buyer 16,Onion,1500,Medium,73.3,2040,T+7 days,Nagaur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0155,B0128,Exporter,Sikar Exporter Buyer 48,Garlic,500,Export,67.8,12080,Immediate UPI/RTGS,Sikar,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0156,B0076,Wholesale,Sri Ganganagar Wholesale Buyer 42,Mustard,75,FAQ,5.2,6590,Payment after quality acceptance,Sri Ganganagar,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0157,B0090,Wholesale,Udaipur Wholesale Buyer 58,Tomato,75,A,89.2,3070,T+3 days,Udaipur,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0158,B0172,Exporter,Bhilwara Exporter Buyer 52,Gram,25,Grade A,8.5,4990,Payment after quality acceptance,Bhilwara,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0159,B0009,Retail Chain,Ajmer Retail Chain Buyer 17,Wheat,1500,FAQ,9.7,2760,Payment after quality acceptance,Ajmer,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0160,B0116,Processor,Udaipur Processor Buyer 48,Garlic,75,Large,68.3,11950,Immediate UPI/RTGS,Udaipur,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0161,B0030,FPO,Sri Ganganagar FPO Buyer 4,Onion,150,Large,72.6,1830,30% advance + balance on delivery,Sri Ganganagar,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0162,B0157,FPO,Barmer FPO Buyer 37,Gram,500,Grade A,7.6,5340,T+1 day,Barmer,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0163,B0208,Retail Chain,Ajmer Retail Chain Buyer 41,Tomato,500,B,89.1,1240,30% advance + balance on delivery,Ajmer,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0164,B0045,Processor,Nagaur Processor Buyer 47,Gram,2000,FAQ,7.4,6430,T+1 day,Nagaur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0165,B0147,Institutional,Barmer Institutional Buyer 48,Maize,200,Grade A,13.4,2600,30% advance + balance on delivery,Barmer,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0166,B0135,FPO,Bharatpur FPO Buyer 53,Mustard,2000,Bold Seed,7.5,6420,Immediate UPI/RTGS,Bharatpur,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0167,B0033,Institutional,Bikaner Institutional Buyer 71,Mustard,750,FAQ,7.3,6080,T+1 day,Bikaner,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0168,B0083,Processor,Jodhpur Processor Buyer 29,Mustard,75,Bold Seed,7.8,5610,30% advance + balance on delivery,Jodhpur,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0169,B0033,Wholesale,Alwar Wholesale Buyer 39,Gram,750,FAQ,8.5,5500,T+1 day,Alwar,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0170,B0216,Wholesale,Bhilwara Wholesale Buyer 73,Bajra,1000,FAQ,11.5,2530,Immediate UPI/RTGS,Bhilwara,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0171,B0159,Processor,Bhilwara Processor Buyer 4,Gram,1000,Grade A,9.7,5860,30% advance + balance on delivery,Bhilwara,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0172,B0077,Retail Chain,Alwar Retail Chain Buyer 59,Tomato,1500,A,89.1,2870,T+1 day,Alwar,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0173,B0081,Processor,Bikaner Processor Buyer 41,Tomato,1000,B,89.9,1530,T+1 day,Bikaner,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0174,B0116,Processor,Sikar Processor Buyer 32,Mustard,50,FAQ,5.3,5880,T+3 days,Sikar,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0175,B0185,Exporter,Nagaur Exporter Buyer 41,Maize,200,FAQ,13.3,2630,T+7 days,Nagaur,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0176,B0101,FPO,Hanumangarh FPO Buyer 65,Tomato,25,B,89.9,1260,T+1 day,Hanumangarh,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0177,B0074,FPO,Jaipur FPO Buyer 69,Wheat,1000,FAQ,11.5,2800,T+7 days,Jaipur,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0178,B0014,Institutional,Barmer Institutional Buyer 73,Onion,25,Large,72.6,2220,30% advance + balance on delivery,Barmer,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0179,B0212,Institutional,Jodhpur Institutional Buyer 80,Garlic,750,Export,68.8,7860,T+1 day,Jodhpur,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0180,B0094,Exporter,Barmer Exporter Buyer 19,Onion,750,Small,73.8,3600,T+7 days,Barmer,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0181,B0133,Processor,Jaipur Processor Buyer 59,Wheat,200,FAQ,10.8,2800,30% advance + balance on delivery,Jaipur,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0182,B0216,FPO,Ajmer FPO Buyer 39,Onion,1000,Large,73.0,3090,30% advance + balance on delivery,Ajmer,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0183,B0173,Retail Chain,Bikaner Retail Chain Buyer 15,Gram,200,Grade A,8.8,5640,Payment after quality acceptance,Bikaner,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0184,B0059,Exporter,Bharatpur Exporter Buyer 7,Tomato,1000,B,87.5,3750,Payment after quality acceptance,Bharatpur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0185,B0049,Wholesale,Nagaur Wholesale Buyer 3,Bajra,25,Clean,9.9,2240,T+1 day,Nagaur,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0186,B0218,Retail Chain,Jodhpur Retail Chain Buyer 8,Garlic,500,Export,67.4,13930,T+1 day,Jodhpur,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0187,B0137,FPO,Jodhpur FPO Buyer 44,Tomato,75,B,89.0,3150,Payment after quality acceptance,Jodhpur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0188,B0077,Exporter,Alwar Exporter Buyer 29,Tomato,150,B,89.3,3650,Payment after quality acceptance,Alwar,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0189,B0074,FPO,Bikaner FPO Buyer 16,Onion,2000,Large,74.0,1900,T+7 days,Bikaner,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0190,B0089,Processor,Bharatpur Processor Buyer 57,Bajra,2000,Clean,11.2,2200,T+1 day,Bharatpur,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0191,B0062,Processor,Ajmer Processor Buyer 32,Gram,2000,FAQ,9.0,6300,30% advance + balance on delivery,Ajmer,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0192,B0026,Institutional,Kota Institutional Buyer 18,Wheat,2000,FAQ,11.9,2800,T+1 day,Kota,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0193,B0074,Processor,Bhilwara Processor Buyer 8,Tomato,150,A,89.0,2440,T+1 day,Bhilwara,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0194,B0215,Retail Chain,Sri Ganganagar Retail Chain Buyer 51,Bajra,75,Clean,9.6,2140,Payment after quality acceptance,Sri Ganganagar,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0195,B0086,FPO,Jaipur FPO Buyer 37,Wheat,1000,Grade A,12.0,2330,30% advance + balance on delivery,Jaipur,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0196,B0208,Institutional,Nagaur Institutional Buyer 15,Bajra,150,Clean,9.5,2340,T+7 days,Nagaur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0197,B0045,Wholesale,Jaipur Wholesale Buyer 79,Bajra,150,Clean,11.5,2340,30% advance + balance on delivery,Jaipur,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0198,B0083,Processor,Bhilwara Processor Buyer 32,Garlic,75,Medium,67.8,9880,T+1 day,Bhilwara,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0199,B0067,Wholesale,Bharatpur Wholesale Buyer 47,Onion,1000,Large,72.7,1220,Payment after quality acceptance,Bharatpur,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0200,B0177,Institutional,Ajmer Institutional Buyer 16,Gram,750,Grade A,8.1,5590,T+1 day,Ajmer,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0201,B0107,Institutional,Ajmer Institutional Buyer 71,Tomato,1000,B,89.3,2710,Payment after quality acceptance,Ajmer,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0202,B0115,Wholesale,Bhilwara Wholesale Buyer 68,Maize,50,Grade A,11.2,2570,30% advance + balance on delivery,Bhilwara,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0203,B0219,Wholesale,Udaipur Wholesale Buyer 67,Maize,75,Grade A,11.3,2310,T+1 day,Udaipur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0204,B0034,Institutional,Hanumangarh Institutional Buyer 66,Mustard,25,Bold Seed,6.4,6360,Immediate UPI/RTGS,Hanumangarh,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0205,B0191,Processor,Chittorgarh Processor Buyer 28,Gram,150,FAQ,7.1,4800,T+3 days,Chittorgarh,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0206,B0074,Retail Chain,Hanumangarh Retail Chain Buyer 53,Wheat,500,FAQ,11.3,2240,Payment after quality acceptance,Hanumangarh,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0207,B0021,FPO,Hanumangarh FPO Buyer 70,Onion,300,Small,74.0,2160,T+3 days,Hanumangarh,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0208,B0001,Processor,Jodhpur Processor Buyer 3,Garlic,100,Large,68.4,13540,Payment after quality acceptance,Jodhpur,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0209,B0040,Processor,Nagaur Processor Buyer 36,Garlic,500,Medium,69.8,8540,Payment after quality acceptance,Nagaur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0210,B0062,Wholesale,Barmer Wholesale Buyer 27,Wheat,1000,FAQ,9.3,2220,Immediate UPI/RTGS,Barmer,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0211,B0139,Processor,Chittorgarh Processor Buyer 28,Maize,500,FAQ,11.4,2190,T+3 days,Chittorgarh,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0212,B0134,FPO,Alwar FPO Buyer 29,Onion,75,Medium,72.9,2890,Immediate UPI/RTGS,Alwar,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0213,B0172,Institutional,Jodhpur Institutional Buyer 49,Garlic,200,Export,68.0,11580,T+7 days,Jodhpur,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0214,B0062,Processor,Sri Ganganagar Processor Buyer 29,Gram,750,Grade A,9.6,6010,T+1 day,Sri Ganganagar,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0215,B0035,Institutional,Jodhpur Institutional Buyer 50,Wheat,300,FAQ,9.8,2870,T+3 days,Jodhpur,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0216,B0014,FPO,Nagaur FPO Buyer 35,Tomato,750,B,89.0,1770,30% advance + balance on delivery,Nagaur,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0217,B0056,Wholesale,Barmer Wholesale Buyer 62,Maize,2000,FAQ,13.6,2610,T+3 days,Barmer,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0218,B0192,Processor,Hanumangarh Processor Buyer 62,Maize,2000,FAQ,13.1,2050,Payment after quality acceptance,Hanumangarh,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0219,B0120,FPO,Jodhpur FPO Buyer 69,Maize,150,Grade A,11.9,2380,T+3 days,Jodhpur,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0220,B0195,Retail Chain,Kota Retail Chain Buyer 41,Tomato,2000,A,88.1,3200,T+7 days,Kota,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0221,B0076,FPO,Jaipur FPO Buyer 20,Bajra,1000,FAQ,10.0,2630,T+7 days,Jaipur,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0222,B0066,Wholesale,Jodhpur Wholesale Buyer 63,Tomato,1500,B,88.4,2520,Payment after quality acceptance,Jodhpur,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0223,B0139,Wholesale,Ajmer Wholesale Buyer 8,Bajra,500,FAQ,11.5,2330,Immediate UPI/RTGS,Ajmer,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0224,B0018,Processor,Sri Ganganagar Processor Buyer 20,Wheat,1500,FAQ,9.7,2490,T+7 days,Sri Ganganagar,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0225,B0142,Institutional,Bhilwara Institutional Buyer 53,Tomato,25,A,87.1,3520,Payment after quality acceptance,Bhilwara,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0226,B0207,Retail Chain,Jodhpur Retail Chain Buyer 23,Wheat,1500,FAQ,11.8,2750,30% advance + balance on delivery,Jodhpur,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0227,B0204,Wholesale,Udaipur Wholesale Buyer 51,Maize,200,FAQ,12.1,2240,T+7 days,Udaipur,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0228,B0024,Wholesale,Bharatpur Wholesale Buyer 52,Maize,50,Grade A,12.1,1940,T+7 days,Bharatpur,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0229,B0145,Institutional,Kota Institutional Buyer 13,Bajra,300,FAQ,9.7,2520,Payment after quality acceptance,Kota,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0230,B0140,Exporter,Jaipur Exporter Buyer 73,Gram,1500,FAQ,7.5,5510,T+3 days,Jaipur,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0231,B0077,Retail Chain,Barmer Retail Chain Buyer 21,Bajra,300,FAQ,10.7,2190,T+7 days,Barmer,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0232,B0021,Wholesale,Barmer Wholesale Buyer 65,Garlic,2000,Export,69.9,12410,Immediate UPI/RTGS,Barmer,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0233,B0153,Processor,Nagaur Processor Buyer 51,Maize,1000,Grade A,11.1,2680,T+3 days,Nagaur,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0234,B0048,FPO,Alwar FPO Buyer 75,Tomato,300,B,87.3,3010,30% advance + balance on delivery,Alwar,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0235,B0190,FPO,Kota FPO Buyer 50,Mustard,300,Bold Seed,6.1,5590,Immediate UPI/RTGS,Kota,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0236,B0023,Wholesale,Sikar Wholesale Buyer 24,Tomato,50,B,88.3,1470,30% advance + balance on delivery,Sikar,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0237,B0153,Processor,Jaipur Processor Buyer 77,Mustard,750,Bold Seed,7.6,5430,Immediate UPI/RTGS,Jaipur,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0238,B0063,Processor,Barmer Processor Buyer 74,Garlic,750,Export,67.5,14260,T+7 days,Barmer,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0239,B0043,FPO,Bharatpur FPO Buyer 56,Gram,75,Grade A,8.3,4960,T+7 days,Bharatpur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0240,B0127,Exporter,Bharatpur Exporter Buyer 77,Onion,2000,Large,72.6,2800,Immediate UPI/RTGS,Bharatpur,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0241,B0206,FPO,Sri Ganganagar FPO Buyer 43,Wheat,1000,Grade A,10.0,2680,Payment after quality acceptance,Sri Ganganagar,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0242,B0123,Wholesale,Sikar Wholesale Buyer 41,Gram,2000,FAQ,9.9,5310,T+3 days,Sikar,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0243,B0030,FPO,Sikar FPO Buyer 73,Maize,300,FAQ,12.8,2360,30% advance + balance on delivery,Sikar,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0244,B0210,Processor,Chittorgarh Processor Buyer 53,Tomato,150,B,87.4,1150,T+3 days,Chittorgarh,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0245,B0115,Institutional,Chittorgarh Institutional Buyer 77,Bajra,300,Clean,10.7,2190,30% advance + balance on delivery,Chittorgarh,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0246,B0153,Exporter,Barmer Exporter Buyer 11,Wheat,2000,FAQ,11.3,2880,Payment after quality acceptance,Barmer,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0247,B0193,Wholesale,Bhilwara Wholesale Buyer 43,Bajra,1000,Clean,9.3,2610,Immediate UPI/RTGS,Bhilwara,7,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0248,B0177,FPO,Bikaner FPO Buyer 65,Maize,500,FAQ,12.0,2650,Immediate UPI/RTGS,Bikaner,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0249,B0213,Exporter,Sri Ganganagar Exporter Buyer 19,Gram,50,Grade A,7.9,5090,T+7 days,Sri Ganganagar,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0250,B0082,Institutional,Sikar Institutional Buyer 9,Tomato,500,B,87.1,3110,Payment after quality acceptance,Sikar,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0251,B0190,Processor,Bhilwara Processor Buyer 32,Onion,75,Large,72.5,3580,T+1 day,Bhilwara,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0252,B0048,Retail Chain,Alwar Retail Chain Buyer 56,Tomato,1500,B,87.1,1740,30% advance + balance on delivery,Alwar,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0253,B0072,Processor,Sri Ganganagar Processor Buyer 9,Garlic,100,Export,67.3,7100,30% advance + balance on delivery,Sri Ganganagar,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0254,B0126,Institutional,Alwar Institutional Buyer 68,Onion,150,Large,72.9,2910,T+7 days,Alwar,14,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0255,B0045,FPO,Sikar FPO Buyer 39,Mustard,500,FAQ,7.0,6780,T+3 days,Sikar,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0256,B0131,Processor,Kota Processor Buyer 50,Gram,2000,Grade A,8.8,5160,30% advance + balance on delivery,Kota,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0257,B0143,Wholesale,Bikaner Wholesale Buyer 22,Bajra,2000,Clean,9.9,2320,T+1 day,Bikaner,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0258,B0035,FPO,Nagaur FPO Buyer 25,Wheat,25,Grade A,11.9,2820,30% advance + balance on delivery,Nagaur,21,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0259,B0114,Institutional,Bhilwara Institutional Buyer 63,Garlic,2000,Medium,67.2,13600,Immediate UPI/RTGS,Bhilwara,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0260,B0044,FPO,Jaipur FPO Buyer 59,Gram,750,Grade A,8.6,5530,Immediate UPI/RTGS,Jaipur,14,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0261,B0211,Wholesale,Barmer Wholesale Buyer 6,Gram,200,Grade A,8.6,6180,T+7 days,Barmer,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0262,B0090,Exporter,Nagaur Exporter Buyer 12,Gram,500,Grade A,9.6,5470,Immediate UPI/RTGS,Nagaur,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0263,B0182,Wholesale,Barmer Wholesale Buyer 79,Maize,2000,Grade A,11.5,2340,T+1 day,Barmer,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0264,B0072,Processor,Barmer Processor Buyer 77,Maize,200,FAQ,12.0,2580,Payment after quality acceptance,Barmer,7,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0265,B0035,Institutional,Nagaur Institutional Buyer 53,Gram,1500,FAQ,10.0,5040,Payment after quality acceptance,Nagaur,5,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0266,B0126,Wholesale,Ajmer Wholesale Buyer 19,Maize,100,Grade A,12.9,2400,T+7 days,Ajmer,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0267,B0117,Institutional,Sri Ganganagar Institutional Buyer 63,Mustard,150,Bold Seed,6.7,6140,Payment after quality acceptance,Sri Ganganagar,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0268,B0056,Processor,Nagaur Processor Buyer 55,Onion,750,Small,73.5,2210,T+3 days,Nagaur,30,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0269,B0125,Wholesale,Jodhpur Wholesale Buyer 44,Onion,1000,Large,74.3,3380,Immediate UPI/RTGS,Jodhpur,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0270,B0117,Exporter,Kota Exporter Buyer 1,Wheat,75,Grade A,9.6,2760,Payment after quality acceptance,Kota,5,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0271,B0168,Exporter,Nagaur Exporter Buyer 47,Bajra,150,Clean,9.2,2210,Payment after quality acceptance,Nagaur,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0272,B0110,Wholesale,Sri Ganganagar Wholesale Buyer 12,Wheat,2000,FAQ,9.0,2490,T+7 days,Sri Ganganagar,3,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0273,B0179,Wholesale,Jodhpur Wholesale Buyer 44,Maize,25,FAQ,14.0,1910,T+7 days,Jodhpur,21,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0274,B0027,Processor,Kota Processor Buyer 41,Tomato,50,B,89.6,1320,T+1 day,Kota,10,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0275,B0113,Wholesale,Kota Wholesale Buyer 45,Bajra,25,FAQ,10.9,2310,T+1 day,Kota,10,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0276,B0151,Retail Chain,Kota Retail Chain Buyer 50,Maize,75,Grade A,13.9,2050,T+3 days,Kota,30,Prototype verified,SYNTHETIC PROTOTYPE - NOT REAL BUYER
D0277,B0154,Wholesale,Bharatpur Wholesale Buyer 77,Maize,100,Grade A,13.3,2600,Payment after quality acceptance,Bharatpur,3,Pending verification,SYNTHETIC PROTOTYPE - NOT REAL BUYER
