warehouse_id,commodity,storage_charge_rs_per_mt_per_month,handling_charge_rs_per_mt,insurance_optional_rs_per_mt_month,effective_year,data_status
W094,Maize,204,39,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W094,Onion,190,48,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W094,Gram,117,29,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W095,Bajra,127,47,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W095,Gram,57,68,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W095,Tomato,126,67,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W096,Maize,143,44,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W096,Tomato,141,26,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W096,Gram,165,33,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W097,Gram,106,55,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W097,Mustard,100,68,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W097,Garlic,108,77,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W098,Gram,135,26,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W098,Bajra,136,40,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W098,Garlic,123,54,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W099,Maize,236,68,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W099,Garlic,183,72,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W099,Tomato,150,79,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W100,Garlic,195,68,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W100,Bajra,154,63,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W100,Wheat,208,57,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W101,Garlic,79,60,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W101,Maize,134,34,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W101,Tomato,133,59,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W102,Mustard,214,80,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W102,Gram,193,59,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W102,Garlic,152,56,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W103,Tomato,204,21,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W103,Onion,209,55,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W103,Wheat,159,74,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W104,Tomato,171,31,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W104,Bajra,161,40,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W104,Onion,185,24,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W105,Maize,113,35,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W105,Gram,111,35,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W105,Tomato,114,52,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W106,Mustard,97,75,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W106,Garlic,86,49,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W106,Gram,55,67,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W107,Garlic,115,75,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W107,Tomato,64,70,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W107,Gram,88,76,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W108,Mustard,137,54,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W108,Onion,111,50,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W108,Gram,92,71,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W109,Wheat,240,60,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W109,Bajra,222,47,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W109,Maize,136,29,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W110,Mustard,101,46,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W110,Onion,73,78,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W110,Tomato,116,33,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W111,Mustard,64,49,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W111,Bajra,86,68,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W111,Onion,98,38,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W112,Onion,176,56,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W112,Garlic,119,68,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W112,Maize,147,53,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W113,Wheat,202,65,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W113,Mustard,188,80,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W113,Bajra,188,50,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W114,Gram,142,29,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W114,Mustard,184,74,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W114,Onion,175,60,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W115,Wheat,187,29,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W115,Garlic,113,36,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W115,Mustard,240,67,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W116,Garlic,76,42,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W116,Maize,74,57,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W116,Gram,95,53,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W117,Garlic,137,30,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W117,Tomato,116,31,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W117,Maize,103,20,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W118,Onion,162,34,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W118,Mustard,181,58,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W118,Bajra,160,42,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W119,Tomato,56,73,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W119,Gram,84,67,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W119,Onion,101,62,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W120,Garlic,97,52,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W120,Onion,89,55,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W120,Wheat,123,75,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W121,Wheat,121,35,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W121,Maize,87,71,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W121,Gram,138,74,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W122,Maize,113,31,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W122,Onion,132,37,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W122,Garlic,90,25,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W123,Mustard,187,23,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W123,Tomato,168,35,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W123,Gram,232,49,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W124,Wheat,64,32,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W124,Bajra,69,48,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W124,Onion,115,32,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W125,Maize,93,56,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W125,Gram,129,47,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W125,Tomato,111,69,25,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W126,Maize,133,68,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W126,Gram,55,36,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W126,Onion,131,37,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W127,Bajra,233,52,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W127,Tomato,186,36,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W127,Gram,173,41,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W128,Gram,69,68,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W128,Onion,117,20,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W128,Maize,120,50,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W129,Bajra,220,63,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W129,Mustard,134,79,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W129,Wheat,197,60,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W130,Bajra,169,33,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W130,Mustard,238,39,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W130,Wheat,230,26,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W131,Maize,74,40,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W131,Gram,79,69,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W131,Onion,76,74,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W132,Bajra,115,61,24,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W132,Tomato,108,69,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W132,Gram,84,79,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W133,Tomato,204,29,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W133,Garlic,195,66,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W133,Bajra,190,48,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W134,Garlic,108,20,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W134,Gram,62,46,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W134,Maize,137,71,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W135,Tomato,114,72,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W135,Garlic,163,62,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W135,Bajra,185,73,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W136,Wheat,103,40,22,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W136,Bajra,126,67,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W136,Maize,82,59,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W137,Tomato,68,24,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W137,Garlic,75,40,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W137,Bajra,130,50,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W138,Garlic,117,35,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W138,Onion,132,57,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W138,Tomato,62,26,6,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W139,Onion,102,48,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W139,Bajra,69,50,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W139,Gram,64,40,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W140,Bajra,130,39,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W140,Garlic,80,55,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W140,Mustard,111,35,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W141,Gram,184,64,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W141,Tomato,145,69,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W141,Garlic,190,74,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W142,Tomato,78,40,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W142,Onion,84,49,16,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W142,Mustard,97,32,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W143,Gram,57,28,8,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W143,Tomato,137,46,18,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W143,Onion,105,71,20,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W144,Wheat,125,78,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W144,Garlic,205,21,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W144,Gram,221,22,21,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W145,Onion,117,38,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W145,Garlic,97,60,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W145,Gram,64,56,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W146,Mustard,120,74,7,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W146,Gram,128,79,19,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W146,Tomato,133,61,11,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W147,Mustard,220,72,13,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W147,Garlic,229,48,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W147,Onion,194,24,10,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W148,Onion,110,76,5,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W148,Maize,106,56,14,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W148,Gram,55,59,17,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W149,Wheat,96,47,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W149,Tomato,88,74,12,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W149,Mustard,129,63,15,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W150,Tomato,80,69,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W150,Onion,100,77,23,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
W150,Garlic,74,32,9,2026 prototype,SYNTHETIC PROTOTYPE - replace with CWC/private tariff
